,values
5548,0.7935695954666744
5554,0.6199855644180979
5555,0.9038673468590231
5580,0.8026699185688119
5581,0.7545390815087366
5584,0.8454258596334019
5610,0.8144179527739742
5622,0.750550701961584
5624,0.7078702551414204
5629,0.8915182112595309
5631,0.8104912480843333
5649,0.923680569098065
5675,0.647080992349149
5682,0.8925427663586684
5698,0.8988034605140739
5719,0.8953346877796307
5753,0.6946566151884744
5779,0.9420479193332036
5783,0.7539591180609219
5802,0.9587221589297128
5816,0.6938783273730745
5835,0.6249532322721463
5845,0.9076770530342304
5864,0.8586574339660529
5866,0.8214933799620088
5874,0.8526601635038211
5887,0.7993898484811613
5902,0.5720046690208604
5915,0.9656730075337631
5946,0.9117370592232877
5948,0.738031816646989
5949,0.7313032474646766
