triplet,index_0,index_1,index_2,ngram_0,ngram_1,ngram_2
351,0.7,0.8,0.9,0.484,0.704,0.704
352,0.8,1.0,0.8,0.586,0.84,0.586
353,0.7,0.8,0.9,0.278,0.484,0.586
354,0.9,0.8,0.9,0.769,0.704,0.704
355,0.9,0.6,0.7,0.586,0.314,0.314
356,0.5,0.6,0.9,0.314,0.394,0.84
357,0.9,0.8,0.9,0.643,0.586,0.438
358,1.0,0.9,0.9,0.643,0.484,0.484
359,0.7,0.6,0.9,0.353,0.278,0.704
360,0.6,0.6,1.0,0.211,0.278,0.704
361,0.8,0.9,0.9,0.484,0.484,0.643
362,1.0,0.8,0.8,0.484,0.278,0.438
363,0.8,0.9,0.9,0.394,0.643,0.484
364,0.8,0.8,1.0,0.586,0.586,1.0
365,1.0,0.7,0.7,0.704,0.314,0.314
366,0.6,0.6,1.0,0.314,0.243,0.643
367,0.9,0.8,0.7,0.704,0.643,0.438
368,0.9,0.9,1.0,0.84,0.84,1.0
369,0.6,0.7,0.9,0.314,0.394,0.84
370,0.8,0.8,1.0,0.438,0.484,0.643
371,0.7,1.0,0.7,0.394,0.643,0.394
372,0.8,0.7,0.9,0.484,0.484,0.704
373,0.8,0.8,1.0,0.438,0.586,0.278
374,0.7,0.6,0.9,0.484,0.243,0.484
375,0.8,0.5,0.7,0.484,0.314,0.243
376,1.0,0.9,0.9,0.704,0.533,0.533
377,0.6,1.0,0.6,0.314,0.484,0.353
378,0.7,0.7,0.4,0.438,0.243,0.179
379,0.7,0.9,0.8,0.353,0.704,0.438
380,0.7,0.7,1.0,0.484,0.394,0.484
381,0.8,0.9,0.9,0.394,0.394,0.586
382,0.5,0.9,0.6,0.353,0.314,0.314
383,0.7,0.9,0.8,0.243,0.438,0.484
384,0.4,0.8,0.6,0.211,0.484,0.15
385,1.0,0.6,0.6,0.586,0.314,0.122
386,0.6,1.0,0.6,0.353,0.586,0.394
387,0.6,0.6,1.0,0.243,0.353,0.484
388,1.0,0.7,0.7,1.0,0.394,0.394
389,0.9,0.7,0.8,0.586,0.484,0.484
390,0.9,1.0,0.9,0.484,0.484,0.84
391,0.9,0.7,0.6,0.533,0.394,0.394
392,0.9,0.8,0.9,0.704,0.533,0.704
393,0.9,0.9,0.8,0.484,0.438,0.484
394,0.6,0.9,0.7,0.243,0.643,0.394
395,0.8,0.8,0.6,0.586,0.704,0.394
396,0.9,0.9,0.8,0.394,0.394,0.484
397,0.8,0.9,0.9,0.586,0.586,0.353
398,1.0,0.6,0.6,0.704,0.278,0.353
399,0.9,0.9,0.8,0.586,0.484,0.586
400,0.7,0.9,0.8,0.394,0.533,0.394
401,0.8,0.8,1.0,0.586,0.586,0.704
402,0.8,1.0,0.8,0.533,0.643,0.484
403,0.8,0.8,1.0,0.586,0.586,1.0
404,0.8,0.7,0.9,0.586,0.394,0.314
405,1.0,0.8,0.8,0.704,0.586,0.586
406,0.9,0.9,1.0,0.586,0.586,1.0
407,0.9,0.6,0.7,0.438,0.394,0.278
408,0.9,0.9,0.8,0.84,0.438,0.438
409,0.3,0.5,0.8,0.045,0.211,0.314
410,1.0,0.7,0.7,0.704,0.394,0.438
411,1.0,0.8,0.8,0.586,0.586,0.394
412,1.0,0.8,0.8,0.484,0.586,0.586
413,0.9,0.9,0.8,0.533,0.484,0.314
414,0.7,0.9,0.6,0.394,0.314,0.314
415,0.8,0.5,0.7,0.643,0.314,0.438
416,0.9,0.9,1.0,0.438,0.394,0.84
417,0.9,1.0,0.9,0.704,0.643,0.704
418,0.8,0.7,0.9,0.314,0.484,0.314
419,0.9,1.0,0.9,0.586,0.586,0.586
420,1.0,1.0,1.0,0.586,0.484,0.243
421,1.0,0.9,0.9,0.704,0.704,0.484
422,0.6,0.8,0.8,0.438,0.438,0.353
423,0.7,0.4,0.7,0.394,0.179,0.484
424,0.8,0.8,1.0,0.586,0.533,0.84
425,0.8,1.0,0.8,0.353,0.704,0.353
426,0.6,0.7,0.9,0.243,0.314,0.84
427,0.9,0.9,0.8,0.769,0.84,0.643
428,1.0,0.9,0.9,0.484,0.643,0.586
429,1.0,0.9,0.9,0.704,0.438,0.278
430,0.9,0.8,0.7,0.484,0.586,0.314
431,0.7,0.7,1.0,0.394,0.394,0.704
432,0.9,0.9,0.8,0.484,0.704,0.353
433,1.0,1.0,1.0,0.484,0.643,0.438
434,1.0,0.7,0.7,0.643,0.394,0.278
435,0.5,0.6,0.9,0.243,0.353,0.704
436,0.9,0.9,0.8,0.484,0.484,0.533
437,0.9,0.9,1.0,0.438,0.484,0.704
438,0.6,0.8,0.8,0.278,0.586,0.438
439,0.4,0.8,0.6,0.122,0.353,0.314
440,1.0,0.8,0.8,0.704,0.484,0.586
441,0.7,0.9,0.6,0.484,0.84,0.394
442,0.9,1.0,0.9,0.484,0.438,0.704
443,0.8,0.8,1.0,0.484,0.704,0.484
444,0.7,1.0,0.7,0.484,0.586,0.394
445,0.9,0.9,0.8,0.484,0.394,0.586
446,1.0,0.9,0.9,0.484,0.704,0.533
447,0.9,0.8,0.9,0.394,0.438,0.704
448,0.8,0.8,1.0,0.586,0.438,0.484
449,0.8,0.8,1.0,0.484,0.484,0.438
450,1.0,0.9,0.9,0.394,0.394,0.586
451,0.7,0.9,0.8,0.353,0.704,0.533
452,0.7,0.5,0.8,0.586,0.314,0.586
453,0.6,0.8,0.8,0.394,0.438,0.484
454,0.7,0.7,1.0,0.484,0.394,0.586
455,1.0,0.9,0.9,0.643,0.438,0.353
456,0.9,0.9,1.0,0.704,0.484,0.704
457,0.6,1.0,0.6,0.211,0.643,0.394
458,0.9,0.8,0.9,0.586,0.586,0.394
459,0.7,0.8,0.9,0.533,0.314,0.278
460,0.7,0.8,0.9,0.314,0.586,0.484
461,1.0,0.9,0.9,0.484,0.704,0.484
462,0.6,0.7,0.9,0.278,0.394,0.704
463,0.9,0.7,0.6,0.643,0.484,0.314
464,0.7,0.9,0.8,0.484,0.484,0.438
465,0.9,0.9,0.8,0.438,0.586,0.243
466,0.8,1.0,0.8,0.353,1.0,0.353
467,1.0,0.9,0.9,0.643,0.769,0.704
468,0.9,0.4,0.5,0.533,0.211,0.243
469,0.9,0.6,0.7,0.484,0.211,0.394
470,0.9,0.9,0.8,0.586,0.484,0.533
471,0.9,0.7,0.6,0.533,0.394,0.353
472,0.8,0.9,0.7,0.586,0.643,0.394
473,0.7,0.8,0.9,0.314,0.394,0.533
474,0.9,0.8,0.9,0.484,0.394,0.438
475,0.8,0.9,0.9,0.586,0.438,0.533
476,0.9,0.8,0.9,0.484,0.394,0.586
477,0.8,0.9,0.9,0.533,0.704,0.704
478,0.9,1.0,0.9,0.586,0.484,0.438
479,0.9,0.7,0.8,0.704,0.586,0.643
480,0.6,0.8,0.4,0.394,0.484,0.122
481,0.7,1.0,0.7,0.484,0.643,0.438
482,0.8,0.8,0.6,0.586,0.586,0.394
483,1.0,0.5,0.5,0.533,0.179,0.278
484,0.8,0.7,0.9,0.586,0.278,0.533
485,0.9,0.9,1.0,0.484,0.314,0.704
486,0.9,0.9,1.0,0.533,0.84,0.643
487,0.8,0.9,0.9,0.353,0.586,0.484
488,0.9,0.8,0.7,0.438,0.353,0.533
489,0.5,0.5,1.0,0.314,0.394,0.643
490,0.6,0.7,0.9,0.394,0.314,0.484
491,1.0,0.8,0.8,0.484,0.704,0.484
492,0.9,0.9,1.0,0.438,0.586,0.704
493,0.8,0.6,0.8,0.533,0.314,0.586
494,0.7,0.6,0.9,0.484,0.314,0.484
495,1.0,0.9,0.9,0.643,0.704,0.586
496,1.0,0.9,0.9,0.704,0.704,0.704
497,1.0,1.0,1.0,0.704,0.84,0.704
498,0.4,0.6,0.8,0.095,0.314,0.438
499,0.8,1.0,0.8,0.586,0.586,0.438
500,1.0,0.8,0.8,0.586,0.586,0.394
501,0.8,0.8,1.0,0.394,0.533,0.484
502,0.8,0.8,1.0,0.586,0.484,0.704
503,0.9,0.9,0.8,0.704,0.643,0.533
504,0.9,1.0,0.9,0.438,0.484,0.769
505,0.9,1.0,0.9,0.704,0.643,0.533
506,0.6,0.7,0.9,0.179,0.394,0.394
507,0.9,0.9,0.8,0.769,0.704,0.704
508,0.9,0.9,1.0,0.643,0.643,0.704
509,0.7,0.8,0.9,0.484,0.586,0.84
510,0.7,0.9,0.6,0.278,0.484,0.484
511,0.6,0.9,0.5,0.394,0.704,0.243
512,0.9,0.7,0.8,0.704,0.243,0.353
513,0.9,0.6,0.7,0.438,0.314,0.353
514,0.6,0.9,0.7,0.278,0.704,0.394
515,0.5,0.8,0.3,0.243,0.586,0.122
516,0.9,0.8,0.9,0.438,0.278,0.314
517,1.0,0.6,0.6,0.643,0.314,0.211
518,1.0,0.7,0.7,1.0,0.484,0.484
519,0.8,0.8,0.6,0.586,0.533,0.353
520,0.7,0.7,1.0,0.394,0.438,0.484
521,0.8,0.8,1.0,0.438,0.533,0.586
522,0.9,0.9,1.0,0.314,0.484,0.704
523,0.5,0.8,0.7,0.243,0.438,0.484
524,1.0,0.6,0.6,0.586,0.353,0.394
525,0.9,1.0,0.9,0.394,0.704,0.586
526,0.6,0.9,0.5,0.314,0.533,0.243
527,0.7,0.9,0.6,0.484,0.484,0.394
528,0.7,0.9,0.6,0.353,0.704,0.314
529,0.8,0.8,1.0,0.484,0.533,0.484
530,0.9,1.0,0.9,0.704,0.484,0.484
531,0.7,0.7,1.0,0.484,0.394,0.484
532,0.6,0.9,0.7,0.314,0.586,0.278
